buyer,tender title,tender description ,tender category,postal_town,administrative_area_level_2,administrative_area_level_1,country
herefordshire council,"Various Building Fabric Improvements At Merchant House, Hereford.","Various building fabric Improvements and redecorations at Merchant House, Hereford.Works include:Asbestos Remediation;Replacement rainwater goods;External redecorationsLocalised Internal redecorationsNew sanitary ware",Other building completion work,Hereford,Herefordshire,England,United Kingdom
herefordshire council,Invitation to Tender  for the provision of assessed individual support for disabled children,"The Council is seeking to contract with one or more providers in order to secure a minimum level of individual support hours to be delivered within the community or family home service.  The service will be for approximately twenty-nine children, who have been assessed by the council's Children with Disabilities team as requiring specialist daytime short breaks to be delivered in the community or in the family home.  This service is also referred to a buddying.  These twenty-nine children will require approximately 9,000 hours support in a twelve month period.  As some of the supported hours are already commissioned, the contract will initially be for at least 5,000 hours per year, with the potential to increase throughout the life of the contract.  
Additionally:
There is also a requirement for a pilot study Completion document 4: Invitation to Tender (ITT) Pilot study.  This is to provide assessed bespoke support and/or care that could be delivered either in the family home or other location to be confirmed based on individual case by case basis.  Parent carers may or may not be present when support hours are delivered

To view the documentation related to this opportunity you will need to register on the portal, if you are not already register with Procontract, and express an interest in the opportunity. To Register with Procontract on the Supplying the Southwest Portal click on the link below or copy and paste the link into your browser address bar; https://www.supplyingthesouthwest.org.uk 
",Social work services,Hereford,Herefordshire,England,United Kingdom
herefordshire council,"Invitation to Tender for the provision of  Refuge, dispersed refuge and support for victims of domestic abuse in HerefordshireFloating Support for Men and BoysSafe Accommodation and Floating Support Lived Experience Advisory Group Co-ordination","Herefordshire Council (the council) would like to thank you for your interest in this opportunity for the procurement of domestic abuse services in Herefordshire. This tender opportunity includes four specific lots as follows: 
•	Lot 1 - safe accommodation (refuge and extended refuge) and domestic abuse support services for adults and children.
•	Lot 2 - safe accommodation (dispersed units) and floating support for victims of domestic abuse in Herefordshire
•	Lot 3 - Domestic abuse support for men and boys 
•	Lot 4 - Lived Experience Advisory Group Co-ordination 

To view the documentation related to this opportunity you will need to register on the portal, if you are not already register with Procontract, and express an interest in the opportunity. To Register with Procontract on the Supplying the Southwest Portal click on the link below or copy and paste the link into your browser address bar; https://www.supplyingthesouthwest.org.uk
",Social work services,Hereford,Herefordshire,England,United Kingdom
herefordshire council,"Invitation to Tender for the provision of  Refuge, dispersed refuge and support for victims of domestic abuse in HerefordshireFloating Support for Men and BoysSafe Accommodation and Floating Support Lived Experience Advisory Group Co-ordination","This tender relates to support services for vulnerable adults and young people, it consists of two lots. A single contract will be awarded for each service lot.  However, tenders will be welcomed from provider partnerships, consortiums or those involving sub-contracting, as well as from individual providers. The provider will be expected to mobilise ready for the new service to commence delivery on the dates specified below. 
The council is interested in bids from organisations with substantial knowledge and experience of providing the relevant support service for homeless or potentially homeless vulnerable individuals who may be care experienced young people and people who may have multiple complex vulnerabilities.  Strong bids will also demonstrate proficiency and experience of working in an open, transparent and collaborative way across whole systems.
Whilst the accommodation based and floating support services are separate tender Lots they could be operated by a single provider or consortium and the tender is constructed to allow bids for either or all Lots.

To view the documentation related to this opportunity you will need to register on the portal, if you are not already register with Procontract, and express an interest in the opportunity. To Register with Procontract on the Supplying the Southwest Portal click on the link below or copy and paste the link into your browser address bar; https://www.supplyingthesouthwest.org.uk
",Social work services,Hereford,Herefordshire,England,United Kingdom
herefordshire council,"Invitation to Tender for the provision of  Refuge, dispersed refuge and support for victims of domestic abuse in HerefordshireFloating Support for Men and BoysSafe Accommodation and Floating Support Lived Experience Advisory Group Co-ordination","This tender relates to support services for vulnerable adults and young people, it consists of two lots. A single contract will be awarded for each service lot.  However, tenders will be welcomed from provider partnerships, consortiums or those involving sub-contracting, as well as from individual providers. The provider will be expected to mobilise ready for the new service to commence delivery on the dates specified below. The council is interested in bids from organisations with substantial knowledge and experience of providing the relevant support service for homeless or potentially homeless vulnerable individuals who may be care experienced young people and people who may have multiple complex vulnerabilities.  Strong bids will also demonstrate proficiency and experience of working in an open, transparent and collaborative way across whole systems.Whilst the accommodation based and floating support services are separate tender Lots they could be operated by a single provider or consortium and the tender is constructed to allow bids for either or all Lots.",Social work services,Hereford,Herefordshire,England,United Kingdom
lincolnshire county council,"Integrated Sexual Health and Sexual Health Outreach, HIV Prevention and Support Services.","Tenders are invited for the supply of Integrated Sexual Health and Sexual Health Outreach, HIV Prevention and Support Services across Greater Lincolnshire, which incorporates the administrative counties of Lincolnshire, North Lincolnshire and North East Lincolnshire. This procurement is being undertaken by Lincolnshire County Council for and on behalf of Lincolnshire County Council, North and North East Lincolnshire Councils.

The tender is split into three lots:
Lot 1 - Integrated Sexual Health Services for Lincolnshire (Lincolnshire County Council)
Lot 2 - Integrated Sexual Health Services for Northern Lincolnshire (North and North East Lincolnshire Councils)
Lot 3 - Sexual Health Outreach, HIV Prevention and Support Services across Greater Lincolnshire (Lincolnshire County Council, North and North East Lincolnshire Councils)

A 'Greater Lincolnshire' approach is being utilised for this tender, as a joint vision between Lincolnshire County Council, North East Lincolnshire Council and North Lincolnshire Council to ensure consistency in the provision of sexual health services for the population of the Greater Lincolnshire area. This approach aims to deliver more joined up services with a single service specification and hence more consistency in service models and digital interfaces.",Social services,Lincoln,Lincolnshire,England,United Kingdom
lincolnshire county council,Community Supported Living - Adults - Open Select List - Reopening 2023,"Lincolnshire County Council will be undertaking a procurement under the Light Touch Regime, pursuant to Regulation 76(7) of the Public Contracts Regulations 2015 (PCR), for a community supported living service in Lincolnshire.

The Council is seeking to re-open the existing Community Supported Living - Open Select List Framework to new approved providers who can deliver the following services referred to as community supported living services.

Lot 1

A) Care and Support Only
B) Care and support in existing and established dedicated accommodation settings
C) Care and support with a new accommodation requirement

Lot 2
D) Care and support in exceptional circumstances.

Current contractual arrangements are in operation for the commissioning of Community Supported Living services as detailed for vulnerable adults who may have a range of different needs including learning disabilities, physical disabilities, mental health and co-occurring conditions, and this is an opportunity for non commissioned providers to join the framework.

The purpose of the service is to enable vulnerable adults to develop existing skills or acquire new skills to increase their independence in daily living through appropriate risk taking, identify and enable opportunities for education and employment, and ultimately meet their desired outcomes as detailed within their Personal Plan. In addition services focus on keeping individuals healthy and safe.",Social work services,Lincoln,Lincolnshire,England,United Kingdom
manchester city council,TC1180 - Wythenshawe Civic Development Partner and Joint Venture Asset Manager Partner,"The Council wish to drive regeneration across Wythenshawe Civic by creating a vibrant and high-quality neighbourhood. The Council are seeking to appoint a partner to realise this vision by aiding in the design, delivery and funding of at least 1,600 residential dwellings across Wythenshawe Civic as well as revitalising the Civic Shopping Centre. This is a significant opportunity to invest in a large, well-connected area of South Manchester.",Building construction work,Manchester,Greater Manchester,England,United Kingdom
manchester city council,TC1180 - Wythenshawe Civic Development Partner and Joint Venture Asset Manager Partner,"The Council wish to drive regeneration across Wythenshawe Civic by creating a vibrant and high-quality neighbourhood. The Council are seeking to appoint a partner to realise this vision by aiding in the design, delivery and funding of at least 1,600 residential dwellings across Wythenshawe Civic as well as revitalising the Civic Shopping Centre. This is a significant opportunity to invest in a large, well-connected area of South Manchester.",Building construction work,,Greater Manchester,England,United Kingdom
manchester city council,TC1180 - Wythenshawe Civic Development Partner and Joint Venture Asset Manager Partner,"The Council wish to drive regeneration across Wythenshawe Civic by creating a vibrant and high-quality neighbourhood. The Council are seeking to appoint a partner to realise this vision by aiding in the design, delivery and funding of at least 1,600 residential dwellings across Wythenshawe Civic as well as revitalising the Civic Shopping Centre. This is a significant opportunity to invest in a large, well-connected area of South Manchester.

Additional information: 
The Council is using the e-business portal known as the Chest. Applicants will need to register their details at the following link www.the-chest.org.uk. Applicants will need to electronically submit their completed Request to Participate documents, including standard selection questionnaire, via the on-line portal by 5pm on 8th November 2023.",Building construction work,Manchester,Greater Manchester,England,United Kingdom
manchester city council,TC1180 - Wythenshawe Civic Development Partner and Joint Venture Asset Manager Partner,"The Council wish to drive regeneration across Wythenshawe Civic by creating a vibrant and high-quality neighbourhood. The Council are seeking to appoint a partner to realise this vision by aiding in the design, delivery and funding of at least 1,600 residential dwellings across Wythenshawe Civic as well as revitalising the Civic Shopping Centre. This is a significant opportunity to invest in a large, well-connected area of South Manchester.

Additional information: 
The Council is using the e-business portal known as the Chest. Applicants will need to register their details at the following link www.the-chest.org.uk. Applicants will need to electronically submit their completed Request to Participate documents, including standard selection questionnaire, via the on-line portal by 5pm on 8th November 2023.",Building construction work,,Greater Manchester,England,United Kingdom
manchester city council,TC623   NORTH WEST CONSTRUSTION HUB - LOW VALUE CONSTRUCTION FRAMEWORK (2024 TO 2028),The nature and types of work that may be required are Building construction work. Construction work for social facilities other than subsidised residential accommodation. Daycare Centre construction work.  Civic Centre construction work. Construction work for crematoriums. Cemetery works. Construction work for buildings relating to law and order or emergency services. Construction work for buildings of further education.  Construction work for research buildings. Laboratory building construction work. Research and testing facilities construction work. Scientific installations. Meteorological stations construction work. Construction work for halls of residence. Training facilities building. Construction work for buildings relating to health. Construction work for social services buildings. Construction work for subsidised residential accommodation. Retirement home construction work. Nursing home construction work. Residential homes construction work. Children's home construction work. Construction work for buildings relating to air transport. Airport buildings construction work. Airport control tower construction work. Construction work for buildings relating to water transport.  Construction work for buildings relating to education and research. Construction work for kindergarten buildings. Schools.  Construction work for school buildings. Primary school construction work. Secondary school construction work.  Special school construction work. Construction work for college buildings. Vocational college construction work.  Technical college construction work. Construction work for university buildings. Polytechnic construction work.  Lecture theatre construction work. Language laboratory construction work. Construction work for commercial buildings. Shop buildings construction work. Shopping Centre construction work. Shop units construction work. Market construction work. Covered market construction work. Open-air market construction work.  Office block construction work. Construction work for warehouses and indus,Building construction work,Manchester,Greater Manchester,England,United Kingdom
manchester city council,TC623   NORTH WEST CONSTRUSTION HUB - LOW VALUE CONSTRUCTION FRAMEWORK (2024 TO 2028),The nature and types of work that may be required are Building construction work. Construction work for social facilities other than subsidised residential accommodation. Daycare Centre construction work.  Civic Centre construction work. Construction work for crematoriums. Cemetery works. Construction work for buildings relating to law and order or emergency services. Construction work for buildings of further education.  Construction work for research buildings. Laboratory building construction work. Research and testing facilities construction work. Scientific installations. Meteorological stations construction work. Construction work for halls of residence. Training facilities building. Construction work for buildings relating to health. Construction work for social services buildings. Construction work for subsidised residential accommodation. Retirement home construction work. Nursing home construction work. Residential homes construction work. Children's home construction work. Construction work for buildings relating to air transport. Airport buildings construction work. Airport control tower construction work. Construction work for buildings relating to water transport.  Construction work for buildings relating to education and research. Construction work for kindergarten buildings. Schools.  Construction work for school buildings. Primary school construction work. Secondary school construction work.  Special school construction work. Construction work for college buildings. Vocational college construction work.  Technical college construction work. Construction work for university buildings. Polytechnic construction work.  Lecture theatre construction work. Language laboratory construction work. Construction work for commercial buildings. Shop buildings construction work. Shopping Centre construction work. Shop units construction work. Market construction work. Covered market construction work. Open-air market construction work.  Office block construction work. Construction work for warehouses and indus,Building construction work,,Greater Manchester,England,United Kingdom
manchester city council,TC623   NORTH WEST CONSTRUSTION HUB – LOW VALUE CONSTRUCTION FRAMEWORK (2024 TO 2028),"The projects let under the Framework Agreement may be of a new-build nature, including demolition, development, refurbishment, or re-modelling of existing properties owned and /or used by the framework users.",Building construction work,Manchester,Greater Manchester,England,United Kingdom
manchester city council,TC623   NORTH WEST CONSTRUSTION HUB – LOW VALUE CONSTRUCTION FRAMEWORK (2024 TO 2028),"The projects let under the Framework Agreement may be of a new-build nature, including demolition, development, refurbishment, or re-modelling of existing properties owned and /or used by the framework users.",Building construction work,,Greater Manchester,England,United Kingdom
manchester city council,TC1179 - Contraception and Sexual Health Service for Young People,"Contraception and Sexual Health Service for Young People.

Additional information: 
The Council is using the e-business portal known as the Chest. Applicants will need to register their details at the following link www.the-chest.org.uk. Applicants will need to electronically submit their completed tender documents via the online portal by 11 a.m. on 30th October 2023.",Medical practice and related services,Manchester,Greater Manchester,England,United Kingdom
manchester city council,TC1179 - Contraception and Sexual Health Service for Young People,"Contraception and Sexual Health Service for Young People.

Additional information: 
The Council is using the e-business portal known as the Chest. Applicants will need to register their details at the following link www.the-chest.org.uk. Applicants will need to electronically submit their completed tender documents via the online portal by 11 a.m. on 30th October 2023.",Medical practice and related services,,Greater Manchester,England,United Kingdom
manchester city council,"TC1017 - The Provision of an Infrastructure service for the Voluntary, Community and Social Enterprise (VCSE) Sector","The Provision of an Infrastructure service for the Voluntary, Community and Social Enterprise (VCSE) Sector.
We are seeking to commission an organisation (or organisations working in partnership with a lead ) to provide citywide 'infrastructure support' to the VCSE sector in Manchester. This specification will explain what we mean by infrastructure support, and what will be required of you as an applicant. The successful applicant will act as a leading strategic partner in the city, working with other leaders across sectors in alignment with the city's priorities and strategies, including the Our Manchester Strategy and the Making Manchester Fairer action plan.

Additional information: 
The Council is using the e-business portal known as the Chest. Applicants will need to register their details at the following link www.the-chest.org.uk. Applicants will need to electronically submit their completed tender documents, including online questionnaire, via the on-line portal by 11am on Monday 6 November 2023",Business and management consultancy services,Manchester,Greater Manchester,England,United Kingdom
manchester city council,"TC1017 - The Provision of an Infrastructure service for the Voluntary, Community and Social Enterprise (VCSE) Sector","The Provision of an Infrastructure service for the Voluntary, Community and Social Enterprise (VCSE) Sector.
We are seeking to commission an organisation (or organisations working in partnership with a lead ) to provide citywide 'infrastructure support' to the VCSE sector in Manchester. This specification will explain what we mean by infrastructure support, and what will be required of you as an applicant. The successful applicant will act as a leading strategic partner in the city, working with other leaders across sectors in alignment with the city's priorities and strategies, including the Our Manchester Strategy and the Making Manchester Fairer action plan.

Additional information: 
The Council is using the e-business portal known as the Chest. Applicants will need to register their details at the following link www.the-chest.org.uk. Applicants will need to electronically submit their completed tender documents, including online questionnaire, via the on-line portal by 11am on Monday 6 November 2023",Business and management consultancy services,,Greater Manchester,England,United Kingdom
manchester city council,"TC1017 - The Provision of an Infrastructure service for the Voluntary, Community and Social Enterprise (VCSE) Sector","We are seeking to commission an organisation (or organisations working in partnership with a lead ) to provide citywide ‘infrastructure support’ to the VCSE sector in Manchester. This specification will explain what we mean by infrastructure support, and what will be required of you as an applicant. The successful applicant will act as a leading strategic partner in the city, working with other leaders across sectors in alignment with the city’s priorities and strategies, including the Our Manchester Strategy and the Making Manchester Fairer action plan.",Miscellaneous membership organisations services,Manchester,Greater Manchester,England,United Kingdom
manchester city council,"TC1017 - The Provision of an Infrastructure service for the Voluntary, Community and Social Enterprise (VCSE) Sector","We are seeking to commission an organisation (or organisations working in partnership with a lead ) to provide citywide ‘infrastructure support’ to the VCSE sector in Manchester. This specification will explain what we mean by infrastructure support, and what will be required of you as an applicant. The successful applicant will act as a leading strategic partner in the city, working with other leaders across sectors in alignment with the city’s priorities and strategies, including the Our Manchester Strategy and the Making Manchester Fairer action plan.",Miscellaneous membership organisations services,,Greater Manchester,England,United Kingdom
sandwell metropolitan borough council,Toxicology Services 2024 - 2028,"Sandwell MBC (the ""Council"") is the relevant authority for the Black Country Coroners Jurisdiction which covers four local authority areas namely; Sandwell MBC, Dudley MBC, Walsall MBC and the City of Wolverhampton. Annually approximately 5000 deaths are reported to the Senior Coroner for the Black Country.  When discharging his or her judicial responsibilities, a coroner will make whatever inquiries are necessary when endeavouring to establish a cause of death. Those inquiries although not exclusively may involve a Digital Autopsy scan, a Post Mortem examination and in some instances the use of Toxicology Services to ensure that service he or she provides meets the needs of the bereaved in a timely manner.   The Council is therefore co-ordinating a tender exercise for Toxicology Services and wishes to invite interested suppliers (""Tenderers"") to participate in a tender exercise in relation to the supply of these services (""invitation to Tender"" or ""ITT"").",Pollutants tracking and monitoring and rehabilitation services,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Parking and Traffic Enforcement Services,"Sandwell MBC (the ""Council"") wishes to appoint a Contractor to provide and manage a range of parking related services. These will relate primarily to enforcement activities, both on-site and administrative. Other related services will be also be required, where they have a close connection with the enforcement aspects.  The Council's intention is for the contract to be let for a period of five years, with a possible extension of a further two years, at the Council's sole discretion. The successful Tenderer will be obliged to enter into a sealed contract with the Council which will be based on the contract specification, the suppliers schedule of rates, the suppliers tender response and post tender clarifications and the appended BPA standard contract for the provision of decriminalised traffic and parking enforcement services as amended and updated by the Council.

Additional information: 
Is a Recurrent Procurement Type? : No",Civic-amenity services,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Parking and Traffic Enforcement Services,"Sandwell MBC (the ""Council"") wishes to appoint a Contractor to provide and manage a range of parking related services. These will relate primarily to enforcement activities, both on-site and administrative. Other related services will be also be required, where they have a close connection with the enforcement aspects.  The Council’s intention is for the contract to be let for a period of five years, with a possible extension of a further two years, at the Council’s sole discretion. The successful Tenderer will be obliged to enter into a sealed contract with the Council which will be based on the contract specification, the suppliers schedule of rates, the suppliers tender response and post tender clarifications and the appended BPA standard contract for the provision of decriminalised traffic and parking enforcement services as amended and updated by the Council.",Civic-amenity services,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Advocacy Services,"Provision of Advocacy Services
      
      Sandwell Metropolitan Borough Council invites tenders for the delivery of Advocacy Services. 
      
      The purpose of the Advocacy Services is to provide high-quality support to Service Users who are legally eligible to receive advocacy under existing legislation, and to provide non-statutory advocacy to inpatients who are voluntarily in hospital due to their mental health diagnosis and treatment. These Services will ensure that as many people as possible in Sandwell who are legally eligible to access these services do access them, have their legal rights upheld, and are effectively supported to engage with the processes and decisions in relation to their health and social care needs. The services will ensure that the Service User's voice (or best interests in the case of IMCA/IMCA DOLS) are at the heart of any decisions made and ensure maximum choice, safety and independence for service users.
      The services in this contract are:
      1. Care Act Advocacy
      2. Independent Mental Capacity Advocacy / Deprivation of Liberty (IMCA/ IMCA DoLS) and Relevant Paid Person Representatives (RPPR)
      3. Independent Mental Health Advocacy (IMHA) and Inpatient Mental Health Advocacy
      4. Independent Complaints Advocacy (ICAS)
      The successful contractor will be required to deliver Advocacy Services in compliance with legislation including the Care Act 2014, Mental Capacity Amendment Act 2005 and the Amendment Act 2019, Mental Health Act 1983 and NHS and Social Care Act 2012, and to ensure all services  are flexible and responsive to developments in legislation, policy and guidance, and to any variations in demand for any of the services. 
      The successful contractor will also be required to work to outcomes, including:
      o Improved awareness and take up of Statutory Advocacy
      o Improved services and service practices 
      
      The duration of the contract will be four (4) years from 1 April 2024 to 31 March 2028. Tenderers should note that t",Social work services,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Advocacy Services,"Sandwell Metropolitan Borough Council invites tenders for the delivery of Advocacy Services. The purpose of the Advocacy Services is to provide high-quality support to Service Users who are legally eligible to receive advocacy under existing legislation, and to provide non-statutory advocacy to inpatients who are voluntarily in hospital due to their mental health diagnosis and treatment. These Services will ensure that as many people as possible in Sandwell who are legally eligible to access these services do access them, have their legal rights upheld, and are effectively supported to engage with the processes and decisions in relation to their health and social care needs. The services will ensure that the Service User's voice (or best interests in the case of IMCA/IMCA DOLS) are at the heart of any decisions made and ensure maximum choice, safety and independence for service users.
The services in this contract are:
1.	Care Act Advocacy
2.	Independent Mental Capacity Advocacy / Deprivation of Liberty (IMCA/ IMCA DoLS) and Relevant Paid Person Representatives (RPPR)
3.	Independent Mental Health Advocacy (IMHA) and Inpatient Mental Health Advocacy
4.	Independent Complaints Advocacy (ICAS)
The successful contractor will be required to deliver Advocacy Services in compliance with legislation including the Care Act 2014, Mental Capacity Amendment Act 2005 and the Amendment Act 2019, Mental Health Act 1983 and NHS and Social Care Act 2012, and to ensure all services  are flexible and responsive to developments in legislation, policy and guidance, and to any variations in demand for any of the services. 
The successful contractor will also be required to work to outcomes, including:
•	Improved awareness and take up of Statutory Advocacy
•	Improved services and service practices 
Tenderers should note that the Council has a maximum budget for all services which is £246,242 per contract year, and a maximum total contract value over the duration of the contract being £984,968. Further details can be found in the Invita",Social work services,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Sandwell Valley Country Park Festival,"Sandwell Metropolitan Borough Council is seeking a Festival organiser / promote to procure the rights to deliver a festival over 4 days (or two sets of two days) at Sandwell Valley Showground, using Dartmouth Park as a walk through to the festival (and further opportunity for three years.

Additional information: 
The Council will be using the In-tend e-Tendering System for this Procurement exercise, please visit https://in-tendhost.co.uk/sandwellmbc to access the Sandwell MBC In-tend Supplier Portal.

From here you will be able to register your company, express an interest in the opportunity, and gain immediate access to Quotation or other related documents.

To submit a quotation you will be required to 'Opt In'.

For a Step by Step user guide to the Sandwell MBC In-tend Supplier Portal please click on the `Guidance for Suppliers` section of the website. All procurement responses must be carried out via the Sandwell MBC In-tend Supplier Portal.  

If you require further assistance in respect of the system please contact the In-tend support team on 0844 272 8810. 



Is a Recurrent Procurement Type? : No","Exhibition, fair and congress organisation services",West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Service Specification for the Provision of Support for Community Led Early Years Groups in Sandwell,"Service Specification for the Provision of Support for Community Led Early Years Groups in Sandwell
      
      Sandwell Council would like , the provider will be expected to be:
      1. An important additional family hub service, that actively contributes to the Home Learning Environment workstream and improve access to the wider offer of family hub services to our families with under-fives.
      2. To provide a focused support in one or more towns to help support school readiness.
      3. Able to build strong and effective relationships with community volunteer led stay and plays across Sandwell.  We expect you to build the network, increasing the number of groups that join it, month on month.  
      4. Able to share key messages across community led stay and plays promoting Sandwell Family hubs, ensuring that our community Stay and Play groups are involved and part of the Sandwell Family Hub network.
      5. Able to share key messages across community led stay and plays promoting key messages from departments within Sandwell Metropolitan Council including Public Health.
      6.  Able to share key messages across community led stay and plays promoting Early Help, ensuring that our community Stay and Plays are involved and part of the Early help network.
      7. To provide regular updates to the family hub project implementation group, which meets monthly.
      8. To attend Sandwell Family hub meetings to ensure the voices of parents and community stay and plays are heard.
      9. To support the completion of family hub research and parent surveys via the stay and plays.
      10. To complete quarterly returns demonstrating progress and impact of the service.
      11. Service delivery will be in line with the local delivery plan, as approved by the government, and the national programme expectations for Family hubs. 
      12. The provider to work closely with SVCO, ensuring information about grants, development support and volunteer support, which will be key to ensure the sustainability of this wor",Social work services,West Bromwich,West Midlands,England,United Kingdom
